------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Aerodynamic blade input properties
======  Blade Properties =================================================================
         55   NumBlNds           - Number of blade nodes used in the analysis (-)
  BlSpn  BlCrvAC  BlSwpAC  BlCrvAng  BlTwist  BlChord  BlAFID
   (m)     (m)      (m)     (deg)     (deg)     (m)      (-)
 0.0000  0.0000  0.0000  0.0000  20.0000  2.6000  1 
 0.6300  -0.0000  0.0000  -0.0000  19.8720  2.6000  1 
 1.2600  -0.0000  0.0000  0.0000  19.7257  2.6000  1 
 1.8900  -0.0000  0.0000  0.0000  19.5646  2.6206  1 
 2.5200  -0.0000  0.0000  0.0000  19.3896  2.6801  1 
 3.1500  -0.0000  0.0000  0.0000  19.1977  2.7767  1 
 3.7800  -0.0000  0.0000  0.0000  18.9878  2.9106  1 
 4.4100  -0.0000  0.0000  0.0000  18.7586  3.0324  1 
 5.0400  -0.0000  0.0000  0.0000  18.5087  3.1554  1 
 6.3000  -0.0000  0.0000  0.0000  17.9417  3.4000  2 
 7.5600  -0.0013  0.0000  -0.0569  17.0675  3.6180  2 
 8.8200  -0.0055  0.0000  -0.1912  15.8086  3.8039  2 
 10.0800  -0.0109  0.0000  -0.2453  14.3676  3.9587  2 
 11.3400  -0.0175  0.0000  -0.3008  12.9472  4.0832  3 
 12.6000  -0.0253  0.0000  -0.3569  11.7498  4.1785  3 
 13.8600  -0.0344  0.0000  -0.4146  10.7294  4.2455  3 
 15.1200  -0.0449  0.0000  -0.4752  9.7130  4.2851  3 
 16.3800  -0.0567  0.0000  -0.5381  8.7129  4.2984  4 
 17.6400  -0.0699  0.0000  -0.6019  7.7417  4.2867  4 
 18.9000  -0.0846  0.0000  -0.6674  6.8115  4.2520  4 
 20.1600  -0.1008  0.0000  -0.7365  5.9348  4.1961  4 
 21.4200  -0.1187  0.0000  -0.8113  5.1240  4.1211  4 
 22.6800  -0.1381  0.0000  -0.8838  4.3914  4.0287  4 
 23.9400  -0.1593  0.0000  -0.9624  3.7495  3.9211  4 
 25.2000  -0.1823  0.0000  -1.0459  3.2106  3.8000  4 
 26.4600  -0.2070  0.0000  -1.1264  2.7625  3.6677  5 
 27.7200  -0.2339  0.0000  -1.2220  2.3793  3.5278  5 
 28.9800  -0.2627  0.0000  -1.3098  2.0521  3.3840  5 
 30.2400  -0.2937  0.0000  -1.4110  1.7722  3.2401  5 
 31.5000  -0.3269  0.0000  -1.5104  1.5308  3.1000  5 
 32.7600  -0.3625  0.0000  -1.6192  1.3192  2.9668  5 
 34.0200  -0.4006  0.0000  -1.7310  1.1286  2.8412  5 
 35.2800  -0.4413  0.0000  -1.8493  0.9504  2.7231  5 
 36.5400  -0.4847  0.0000  -1.9745  0.7756  2.6127  5 
 37.8000  -0.5309  0.0000  -2.1043  0.5957  2.5098  6 
 39.0600  -0.5803  0.0000  -2.2449  0.4223  2.4145  6 
 40.3200  -0.6328  0.0000  -2.3882  0.2699  2.3269  6 
 41.5800  -0.6888  0.0000  -2.5472  0.1339  2.2468  6 
 42.8400  -0.7483  0.0000  -2.7059  0.0094  2.1743  6 
 44.1000  -0.8118  0.0000  -2.8877  -0.1081  2.1095  6 
 45.3600  -0.8791  0.0000  -3.0634  -0.2233  2.0523  6 
 46.6200  -0.9511  0.0000  -3.2745  -0.3409  2.0028  6 
 47.8800  -1.0274  0.0000  -3.4735  -0.4655  1.9609  7 
 49.1400  -1.1090  0.0000  -3.7132  -0.6019  1.9266  7 
 50.4000  -1.1958  0.0000  -3.9508  -0.7547  1.9000  7 
 51.6600  -1.2884  0.0000  -4.2129  -0.9122  1.8792  7 
 52.9200  -1.3874  0.0000  -4.5087  -1.0697  1.8549  7 
 54.1800  -1.4931  0.0000  -4.8094  -1.2429  1.8161  7 
 55.4400  -1.6062  0.0000  -5.1520  -1.4471  1.7515  7 
 56.7000  -1.7278  0.0000  -5.5361  -1.6978  1.6500  7 
 57.9600  -1.8583  0.0000  -5.9436  -2.0507  1.5005  7 
 59.2200  -1.9987  0.0000  -6.4005  -2.5385  1.2919  7 
 60.4800  -2.1505  0.0000  -6.9172  -3.1419  1.0131  7 
 61.7400  -2.3151  0.0000  -7.5073  -3.8416  0.6528  7 
 63.0000  -2.5000  0.0000  -8.4392  -4.6185  0.2000  7 
