1	number of structural components
---------------------------------
#1	flexible blade
      r          mass          x_cg          y_cg        r_gy_x        r_gy_y          x_sc          y_sc             E             G           I_x           I_y           I_p           k_x           k_y          area       theta_s          x_ec          y_ec
$1	55
 0.0000   9.64090e+02  -5.14000e-05   2.15000e-04   8.91365e-01   8.91365e-01  -5.47000e-05   2.15000e-04   1.13000e+10   1.00000e+00   8.00885e-01   8.00885e-01   7.82000e+09   2.44000e+09   2.44000e+09   1.00000e+00  -7.97000e+01  -5.14000e-05   2.15000e-04
 0.6301   8.92266e+02  -2.78214e-05   2.15000e-04   8.93374e-01   8.93374e-01  -3.78050e-05   2.15000e-04   1.04022e+10   1.00000e+00   8.07674e-01   8.07674e-01   7.26137e+09   2.25047e+09   2.25047e+09   1.00000e+00  -7.97998e+01  -2.78214e-05   2.15000e-04
 1.2601   8.20453e+02  -5.53909e-05   2.15995e-04   8.94367e-01   8.94367e-01  -5.54399e-05   2.15995e-04   9.58402e+09   1.00000e+00   8.08970e-01   8.08970e-01   6.69279e+09   2.07088e+09   2.07088e+09   1.00000e+00  -7.96010e+01  -5.53909e-05   2.15995e-04
 1.8904   7.50589e+02  -3.02391e-04  -4.76131e-04   8.95846e-01   9.01733e-01  -3.02391e-04  -4.69180e-04   8.75580e+09   1.00000e+00   8.11410e-01   8.22751e-01   6.18356e+09   1.90119e+09   1.88133e+09   1.00000e+00   2.33365e+00  -3.02391e-04  -4.76131e-04
 2.5216   7.03212e+02  -1.46016e-03  -2.19677e-03   8.90264e-01   9.13779e-01  -1.36092e-03  -2.08756e-03   8.09505e+09   1.00000e+00   8.13334e-01   8.57560e-01   5.83268e+09   1.79084e+09   1.70138e+09   1.00000e+00   2.62222e+00  -1.46016e-03  -2.19677e-03
 3.1542   6.58869e+02  -3.06116e-03  -4.92340e-03   8.83471e-01   9.35861e-01  -3.06055e-03  -4.39595e-03   7.46383e+09   1.00000e+00   8.13671e-01   9.12506e-01   5.54176e+09   1.70055e+09   1.52109e+09   1.00000e+00   2.42122e+00  -3.06116e-03  -4.92340e-03
 3.7888   6.15411e+02  -6.28935e-03  -9.12413e-03   8.76747e-01   9.67452e-01  -5.29075e-03  -7.49567e-03   6.85085e+09   1.00000e+00   8.14597e-01   9.92579e-01   5.28036e+09   1.62011e+09   1.33027e+09   1.00000e+00   2.10045e+00  -6.28935e-03  -9.12413e-03
 4.4227   5.64982e+02  -1.05956e-02  -1.46137e-02   8.52757e-01   9.90171e-01  -7.58684e-03  -1.08057e-02   6.14839e+09   1.00000e+00   7.88541e-01   1.06518e+00   4.78867e+09   1.51972e+09   1.11956e+09   1.00000e+00   1.65900e+00  -1.05956e-02  -1.46137e-02
 5.0566   5.10760e+02  -1.66681e-02  -2.10159e-02   8.19166e-01   1.01102e+00  -8.35388e-03  -1.32127e-02   5.40956e+09   1.00000e+00   7.48285e-01   1.13910e+00   4.17579e+09   1.38915e+09   9.15841e+08   1.00000e+00   1.18902e+00  -1.65949e-02  -2.10051e-02
 6.3244   4.83139e+02  -1.35011e-01  -6.05521e-02   7.23184e-01   1.06690e+00   3.20544e-01   5.05840e-02   5.25902e+09   1.00000e+00   6.32613e-01   1.30464e+00   2.73646e+09   1.09954e+09   5.20182e+08   1.00000e+00  -2.55432e+00  -1.09939e-01  -5.68337e-02
 7.5908   4.52318e+02  -8.53447e-02  -6.71348e-02   6.71126e-01   1.09318e+00   3.01233e-01   4.91120e-02   5.10755e+09   1.00000e+00   5.59476e-01   1.37574e+00   2.19665e+09   1.02895e+09   3.95303e+08   1.00000e+00  -3.20647e+00  -4.92179e-02  -6.06149e-02
 8.8557   4.15559e+02   3.13654e-02  -5.56879e-02   6.46560e-01   1.08491e+00   2.61795e-01   2.14829e-02   4.83668e+09   1.00000e+00   5.34998e-01   1.37498e+00   1.82554e+09   9.12288e+08   3.18253e+08   1.00000e+00  -2.81295e+00   8.15107e-02  -4.69786e-02
10.1193   3.76963e+02   1.94589e-01  -3.96002e-02   6.23990e-01   1.03697e+00   3.71423e-01  -3.46691e-03   4.51786e+09   1.00000e+00   5.21969e-01   1.26693e+00   1.39524e+09   7.46916e+08   2.46273e+08   1.00000e+00  -2.14556e+00   2.58685e-01  -3.00002e-02
11.3819   3.47278e+02   3.17273e-01  -3.29893e-02   6.01933e-01   9.95686e-01   5.71741e-01  -5.94545e-03   4.31796e+09   1.00000e+00   5.06877e-01   1.19111e+00   9.50889e+08   5.51792e+08   1.78430e+08   1.00000e+00  -2.66580e+00   3.90182e-01  -2.34076e-02
12.6436   3.16955e+02   4.57602e-01  -2.41343e-02   5.86403e-01   9.31253e-01   7.57872e-01  -1.03699e-02   4.12153e+09   1.00000e+00   4.99902e-01   1.08656e+00   5.50073e+08   3.36631e+08   1.22937e+08   1.00000e+00  -3.22874e+00   5.21593e-01  -1.63505e-02
13.9047   3.23077e+02   5.47302e-01  -1.88369e-02   5.78154e-01   8.98430e-01   8.77340e-01  -8.97880e-03   4.29110e+09   1.00000e+00   4.89420e-01   9.98995e-01   4.47284e+08   2.95693e+08   1.15949e+08   1.00000e+00  -3.08488e+00   6.10273e-01  -1.28588e-02
15.1653   3.28197e+02   6.40067e-01  -1.34573e-02   5.70971e-01   8.38689e-01   9.75191e-01  -2.48782e-03   4.44089e+09   1.00000e+00   4.77405e-01   8.66448e-01   3.49549e+08   2.53769e+08   1.08974e+08   1.00000e+00  -2.38911e+00   6.99020e-01  -1.04683e-02
16.4256   3.33318e+02   7.15634e-01  -1.25439e-02   5.63912e-01   7.80245e-01   1.03615e+00   2.33451e-04   4.61050e+09   1.00000e+00   4.64165e-01   7.43707e-01   2.63790e+08   2.09866e+08   1.03986e+08   1.00000e+00  -2.22240e+00   7.65605e-01  -1.16477e-02
17.6858   3.39433e+02   7.73720e-01  -1.43086e-02   5.53527e-01   7.18003e-01   1.06580e+00   2.69432e-03   4.78009e+09   1.00000e+00   4.49781e-01   6.35937e-01   1.91972e+08   1.63978e+08   9.91978e+07   1.00000e+00  -3.04130e+00   8.13714e-01  -1.47088e-02
18.9458   3.45548e+02   8.17413e-01  -1.78631e-02   5.45970e-01   6.54571e-01   1.06969e+00   5.28444e-03   4.96962e+09   1.00000e+00   4.30621e-01   5.41431e-01   1.32121e+08   1.17095e+08   9.45095e+07   1.00000e+00  -5.81439e+00   8.44439e-01  -1.88619e-02
20.2060   3.33046e+02   8.07700e-01  -2.11131e-02   5.28842e-01   6.41484e-01   1.06209e+00   3.05241e-03   4.77089e+09   1.00000e+00   4.06819e-01   5.20015e-01   1.18062e+08   1.14013e+08   9.31062e+07   1.00000e+00  -5.99920e+00   8.33704e-01  -2.26109e-02
21.4663   3.19522e+02   7.85220e-01  -2.61442e-02   5.10794e-01   6.28150e-01   1.03456e+00   9.96519e-04   4.57136e+09   1.00000e+00   3.78755e-01   5.01228e-01   1.08068e+08   1.11020e+08   9.11136e+07   1.00000e+00  -6.79457e+00   8.11220e-01  -2.78428e-02
22.7267   3.05982e+02   7.57200e-01  -2.99904e-02   4.91725e-01   6.13321e-01   9.98275e-01  -7.75965e-04   4.37180e+09   1.00000e+00   3.52648e-01   4.78475e-01   9.77925e+07   1.07036e+08   8.89198e+07   1.00000e+00  -7.44416e+00   7.81218e-01  -3.17895e-02
23.9874   2.92439e+02   7.22389e-01  -3.26377e-02   4.71808e-01   5.93853e-01   9.53796e-01  -2.02306e-03   4.16231e+09   1.00000e+00   3.24841e-01   4.49851e-01   8.82055e+07   1.04033e+08   8.64275e+07   1.00000e+00  -7.92472e+00   7.44411e-01  -3.44377e-02
25.2483   2.78904e+02   6.82962e-01  -3.40860e-02   4.50914e-01   5.74161e-01   9.04982e-01  -3.04138e-03   3.96256e+09   1.00000e+00   2.98337e-01   4.22091e-01   7.91166e+07   9.99525e+07   8.38333e+07   1.00000e+00  -7.86090e+00   7.03974e-01  -3.58860e-02
26.5095   2.70619e+02   6.36941e-01  -3.47319e-02   4.33201e-01   5.56528e-01   8.46325e-01  -2.49922e-03   3.92058e+09   1.00000e+00   2.68297e-01   3.93278e-01   7.09185e+07   9.54650e+07   8.18289e+07   1.00000e+00  -7.61361e+00   6.54984e-01  -3.63348e-02
27.7708   2.62411e+02   5.89036e-01  -3.44750e-02   4.14075e-01   5.36856e-01   7.83377e-01  -1.38853e-03   3.87080e+09   1.00000e+00   2.42026e-01   3.64801e-01   6.32227e+07   9.11685e+07   7.94382e+07   1.00000e+00  -7.30494e+00   6.03100e-01  -3.59766e-02
29.0323   2.55175e+02   5.39231e-01  -3.35167e-02   3.93906e-01   5.15221e-01   7.17903e-01  -4.43142e-05   3.83069e+09   1.00000e+00   2.15350e-01   3.32166e-01   5.61230e+07   8.69727e+07   7.68450e+07   1.00000e+00  -6.88727e+00   5.50283e-01  -3.48202e-02
30.2939   2.46983e+02   4.89385e-01  -3.21452e-02   3.73719e-01   4.93865e-01   6.51691e-01   1.22687e-03   3.78093e+09   1.00000e+00   1.90418e-01   3.02155e-01   4.96213e+07   8.30728e+07   7.40523e+07   1.00000e+00  -6.33045e+00   4.98423e-01  -3.33470e-02
