1	number of structural components
---------------------------------
#1	stiff tower
      r          mass          x_cg          y_cg        r_gy_x        r_gy_y          x_sc          y_sc             E             G           I_x           I_y           I_p           k_x           k_y          area       theta_s          x_ec          y_ec
$1	11
  0.0000   9.02138e+03   0.00000e+00   0.00000e+00   2.09827e+00   2.09827e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07693e+10   4.66558e+00   4.66558e+00   9.33115e+00   4.99999e-01   4.99999e-01   1.06134e+00   0.00000e+00   0.00000e+00   0.00000e+00
 10.8000   8.93127e+03   0.00000e+00   0.00000e+00   2.07692e+00   2.07692e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07693e+10   4.52719e+00   4.52719e+00   9.05436e+00   4.99998e-01   4.99998e-01   1.05074e+00   0.00000e+00   0.00000e+00   0.00000e+00
 21.6000   7.92140e+03   0.00000e+00   0.00000e+00   2.07915e+00   2.07915e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07692e+10   4.02410e+00   4.02410e+00   8.04819e+00   5.00000e-01   5.00000e-01   9.31930e-01   0.00000e+00   0.00000e+00   0.00000e+00
 32.4000   7.32523e+03   0.00000e+00   0.00000e+00   2.08046e+00   2.08046e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07693e+10   3.72605e+00   3.72605e+00   7.45209e+00   5.00000e-01   5.00000e-01   8.61791e-01   0.00000e+00   0.00000e+00   0.00000e+00
 43.2000   6.18718e+03   0.00000e+00   0.00000e+00   2.08315e+00   2.08315e+00   0.00000e+00   0.00000e+00   2.10001e+11   8.07691e+10   3.15492e+00   3.15492e+00   6.30985e+00   5.00001e-01   5.00001e-01   7.27903e-01   0.00000e+00   0.00000e+00   0.00000e+00
 54.0000   5.27971e+03   0.00000e+00   0.00000e+00   2.08502e+00   2.08502e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07692e+10   2.69746e+00   2.69746e+00   5.39494e+00   5.00001e-01   5.00001e-01   6.21142e-01   0.00000e+00   0.00000e+00   0.00000e+00
 64.8000   4.35489e+03   0.00000e+00   0.00000e+00   2.05835e+00   2.05835e+00   0.00000e+00   0.00000e+00   2.09999e+11   8.07692e+10   2.17106e+00   2.17106e+00   4.34209e+00   5.00001e-01   5.00001e-01   5.12340e-01   0.00000e+00   0.00000e+00   0.00000e+00
 75.6000   3.20514e+03   0.00000e+00   0.00000e+00   1.80260e+00   1.80260e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07693e+10   1.22247e+00   1.22247e+00   2.44494e+00   4.99999e-01   4.99999e-01   3.77075e-01   0.00000e+00   0.00000e+00   0.00000e+00
 86.4000   2.74955e+03   0.00000e+00   0.00000e+00   1.53295e+00   1.53295e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07690e+10   7.60963e-01   7.60963e-01   1.52192e+00   5.00001e-01   5.00001e-01   3.23477e-01   0.00000e+00   0.00000e+00   0.00000e+00
 97.2000   2.14527e+03   0.00000e+00   0.00000e+00   1.26891e+00   1.26891e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07692e+10   4.05478e-01   4.05478e-01   8.10956e-01   5.00001e-01   5.00001e-01   2.52385e-01   0.00000e+00   0.00000e+00   0.00000e+00
108.0000   2.12317e+03   0.00000e+00   0.00000e+00   1.05122e+00   1.05122e+00   0.00000e+00   0.00000e+00   2.10000e+11   8.07692e+10   2.76042e-01   2.76042e-01   5.52084e-01   4.99998e-01   4.99998e-01   2.49784e-01   0.00000e+00   0.00000e+00   0.00000e+00
