------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.999622705006573e+01  2.600000000000000e+00        1
 2.169259349044449e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.946080786909866e+01  2.645212290008842e+00        2
 4.338518698088897e+00  0.000000000000000e+00  0.000000000000000e+00 -2.561241534236616e-03  1.875827555169797e+01  3.020149298923184e+00        3
 6.507778047133343e+00 -1.939408866995070e-04  0.000000000000000e+00 -6.264796737858645e-02  1.778124014183917e+01  3.437213325623043e+00        4
 8.677037396177791e+00 -4.743793103448273e-03  0.000000000000000e+00 -1.933022159629577e-01  1.593055481444281e+01  3.781799705412531e+00        5
 1.084629674522224e+01 -1.483103448275862e-02  0.000000000000000e+00 -3.077863372657865e-01  1.350248497496167e+01  4.036474978203898e+00        6
 1.301555609426669e+01 -2.804970443349753e-02  0.000000000000000e+00 -4.103876553420046e-01  1.139766893850974e+01  4.201978450622145e+00        7
 1.518481544331113e+01 -4.590591133004925e-02  0.000000000000000e+00 -5.189763039353404e-01  9.661025888169757e+00  4.284091347360369e+00        8
 1.735407479235558e+01 -6.734679802955665e-02  0.000000000000000e+00 -6.265089482598080e-01  7.937959652497168e+00  4.288843959956855e+00        9
 1.952333414140003e+01 -9.334512315270936e-02  0.000000000000000e+00 -7.419597789497043e-01  6.369706903909893e+00  4.223066143543667e+00       10
 2.169259349044448e+01 -1.235274876847291e-01  0.000000000000000e+00 -8.610604024983961e-01  4.942594461918434e+00  4.098962476430963e+00       11
 2.386185283948893e+01 -1.585433990147783e-01  0.000000000000000e+00 -9.987532718646910e-01  3.778965173242362e+00  3.923071495366893e+00       12
 2.603111218853337e+01 -1.991506896551724e-01  0.000000000000000e+00 -1.155982926861384e+00  2.885239146986686e+00  3.709322684866380e+00       13
 2.820037153757782e+01 -2.460701477832512e-01  0.000000000000000e+00 -1.311789037713069e+00  2.264951496533385e+00  3.468335116946723e+00       14
 3.036963088662228e+01 -2.984725615763546e-01  0.000000000000000e+00 -1.480824634771122e+00  1.744071991808285e+00  3.220534511313275e+00       15
 3.253889023566671e+01 -3.581878325123153e-01  0.000000000000000e+00 -1.659133755926798e+00  1.358979901841930e+00  2.986017701672333e+00       16
 3.470814958471117e+01 -4.240869950738916e-01  0.000000000000000e+00 -1.864186052700847e+00  1.045171733915794e+00  2.770876205088198e+00       17
 3.687740893375561e+01 -4.993217733990146e-01  0.000000000000000e+00 -2.084620910287718e+00  7.233146621723865e-01  2.581339635630718e+00       18
 3.904666828280006e+01 -5.819026600985221e-01  0.000000000000000e+00 -2.329271344580228e+00  3.976730666494835e-01  2.412097202942550e+00       19
 4.121592763184452e+01 -6.756489655172412e-01  0.000000000000000e+00 -2.598039224845174e+00  1.628502409332852e-01  2.266723710494503e+00       20
 4.338518698088897e+01 -7.785625123152710e-01  0.000000000000000e+00 -2.889009229825942e+00 -5.532006297814865e-02  2.142546607236846e+00       21
 4.555444632993341e+01 -8.943162068965517e-01  0.000000000000000e+00 -3.218779370410159e+00 -2.528917164715359e-01  2.042594882972482e+00       22
 4.772370567897785e+01 -1.022164926108374e+00  0.000000000000000e+00 -3.591765166359302e+00 -4.565911580144458e-01  1.964335158761933e+00       23
 4.989296502802230e+01 -1.166111724137931e+00  0.000000000000000e+00 -4.007818448358128e+00 -7.039483006860886e-01  1.909453716770902e+00       24
 5.206222437706674e+01 -1.325395270935961e+00  0.000000000000000e+00 -4.479638226192611e+00 -9.817320026800989e-01  1.870285611269023e+00       25
 5.423148372611119e+01 -1.504970886699507e+00  0.000000000000000e+00 -5.047145148201859e+00 -1.275351483789122e+00  1.807948454626255e+00       26
 5.640074307515565e+01 -1.707078275862069e+00  0.000000000000000e+00 -5.694778205966522e+00 -1.667255761277518e+00  1.666264974361180e+00       27
 5.857000242420010e+01 -1.935478029556650e+00  0.000000000000000e+00 -6.453914814091422e+00 -2.311822312304400e+00  1.387617066544181e+00       28
 6.073926177324454e+01 -2.194745172413793e+00  0.000000000000000e+00 -7.476445693049122e+00 -3.335416416355920e+00  9.172936099925491e-01       29
 6.290852112228899e+01 -2.500000000000000e+00  0.000000000000000e+00 -8.089422356503077e+00 -4.640958140559668e+00  2.000000000000000e-01       30
