------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
AeroElasticSE FAST driver
======  Blade Properties =================================================================
50          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.999622705006573e+01  2.600000000000000e+00        1
 1.051578633329309e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.976034904473335e+01  2.610299692445002e+00        2
 2.103157266658618e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.948056503444800e+01  2.635450237416904e+00        3
 3.154735899987927e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.916528386771649e+01  2.748675405746825e+00        4
 4.206314533317235e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.881357093567286e+01  2.971394794791483e+00        5
 5.257893166646543e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.840860854130349e+01  3.217279345794625e+00        6
 6.309471799975853e+00  0.000000000000000e+00  0.000000000000000e+00  3.735510366421398e-02  1.793357898759477e+01  3.400000000000000e+00        7
 7.734191238680078e+00  1.614470828692408e-03  0.000000000000000e+00  1.239366694497332e-01  1.705833051212418e+01  3.565168245214298e+00        8
 9.158910677384304e+00  6.163624823134858e-03  0.000000000000000e+00  2.330816044854155e-01  1.588940811850044e+01  3.725538209769202e+00        9
 1.058363011608853e+01  1.320607424587519e-02  0.000000000000000e+00  3.244764640446947e-01  1.451610125654270e+01  3.875751493931286e+00       10
 1.200834955479275e+01  2.230043135946124e-02  0.000000000000000e+00  3.981210805388630e-01  1.302769937607010e+01  4.010449697967123e+00       11
 1.343306899349698e+01  3.300530842644087e-02  0.000000000000000e+00  4.540151546232634e-01  1.151349192690178e+01  4.124274422143285e+00       12
 1.485778843220120e+01  4.487931770936189e-02  0.000000000000000e+00  4.921583612207615e-01  1.006276835885688e+01  4.211867266726345e+00       13
 1.628250787090543e+01  5.748107147077214e-02  0.000000000000000e+00  5.125825666243541e-01  8.764818121754548e+00  4.267869831982877e+00       14
 1.770722730960965e+01  7.037078013083550e-02  0.000000000000000e+00  5.571628290123462e-01  7.708799642670108e+00  4.286918694628582e+00       15
 1.913194674831388e+01  8.518950686306945e-02  0.000000000000000e+00  6.645592869851317e-01  6.801661031987594e+00  4.259842559222722e+00       16
 2.055666618701810e+01  1.034199615298311e-01  0.000000000000000e+00  7.947272114335399e-01  5.919437933154931e+00  4.188296595342950e+00       17
 2.198138562572233e+01  1.247116849307060e-01  0.000000000000000e+00  9.108035436834019e-01  5.078095993649864e+00  4.082135970699343e+00       18
 2.340610506442655e+01  1.487142178652798e-01  0.000000000000000e+00  1.012787495849983e+00  4.293600860950138e+00  3.951215853001977e+00       19
 2.483082450313078e+01  1.750771011331382e-01  0.000000000000000e+00  1.100678136931456e+00  3.581918182533494e+00  3.805391409960926e+00       20
 2.625554394183500e+01  2.034498755338669e-01  0.000000000000000e+00  1.174474485364839e+00  2.959013605877676e+00  3.654517809286268e+00       21
 2.768026338053923e+01  2.334820818670514e-01  0.000000000000000e+00  1.234277688106946e+00  2.440852778460427e+00  3.508450218688075e+00       22
 2.910498281924345e+01  2.648283373649771e-01  0.000000000000000e+00  1.315441374819729e+00  2.043256824225336e+00  3.376974064087620e+00       23
