# Wind speed (m/s) 	 Rotor rotational speed (rpm) 	 Pitch angle (deg) 	 Rotor electrical power (W) 	 Rotor aerodynamic power (W) 	 Rotor thrust (N) 	 Rotor aerodynamic torque (Nm) 	 Blade root flapwise moment (Nm)	 Rotor electrical power coefficient (-) 	 Rotor aerodynamic power coefficient (-) 	 Rotor thrust coefficient (-) 	 Rotor aerodynamic torque coefficient
3.000000000000000000e+00	6.900000000000000355e+00	3.913972508726375032e+00	5.162032741107884794e+04	5.511082673304285709e+04	5.915902156912508508e+04	7.627096080386730318e+04	9.255181331688556820e+05	2.367653073942747877e-01	2.527750691755792922e-01	8.140283854894109217e-01	1.620079418592286838e-02
3.539159827293724803e+00	6.900000000000000355e+00	3.724354876029454697e+00	1.233681588270536013e+05	1.317101530826994567e+05	8.133753437528651557e+04	1.822810601608857105e+05	1.231042827023981605e+06	3.446383737186874963e-01	3.679423717775931468e-01	8.041771483638766593e-01	2.782023481802238171e-02
4.048452625194753018e+00	6.900000000000000355e+00	3.386629798093139687e+00	2.132415089668440633e+05	2.276606221300744801e+05	1.056415976704052300e+05	3.150722900815433823e+05	1.566063292130974121e+06	3.979840236469199821e-01	4.248951850897653704e-01	7.982113770373607808e-01	3.674952105281295567e-02
4.526747636329808699e+00	6.900000000000000355e+00	2.912674939653721928e+00	3.188379980416217586e+05	3.403974082932852907e+05	1.314666955125289678e+05	4.710950447438824340e+05	1.922957357867926592e+06	4.256692704625312240e-01	4.544524722446162679e-01	7.945189424815273238e-01	4.394966468961795242e-02
4.972982926164041473e+00	6.900000000000000355e+00	2.316695729509275825e+00	4.359564866552071762e+05	4.654352966007097275e+05	1.580225340916775749e+05	6.441419838560468052e+05	2.292698215547104366e+06	4.389886740083568384e-01	4.686725165143070249e-01	7.913091028458439924e-01	4.979288236842636245e-02
5.386167740761252709e+00	6.900000000000000355e+00	1.654004735675356885e+00	5.608983051702806260e+05	5.988255181903870543e+05	1.841549162689492805e+05	8.287481849527459126e+05	2.658510208275573328e+06	4.445346110207157864e-01	4.745934625657822203e-01	7.861123958551859969e-01	5.461129036349397781e-02
5.765384706505409795e+00	6.900000000000000355e+00	1.008818423459026725e+00	6.889063120444215601e+05	7.354892598033250542e+05	2.082935131101490115e+05	1.017884793814768898e+06	2.996392274678202346e+06	4.451807376520024451e-01	4.752832794385206117e-01	7.760330855568124964e-01	5.854120261212795301e-02
6.109791866899474400e+00	7.196573840542120237e+00	1.000000000000000000e+00	8.191257759492757032e+05	8.745139942917372100e+05	2.310204376458475017e+05	1.160412396886483999e+06	3.318689235392428935e+06	4.447668601971859204e-01	4.748414161291412139e-01	7.664055590516940519e-01	5.942635932648885483e-02
6.418624551919384302e+00	7.560340278177996254e+00	1.000000000000000000e+00	9.497236726117024664e+05	1.013942750668011722e+06	2.549655570724043064e+05	1.280688393723179586e+06	3.662669235131333116e+06	4.447668601971860869e-01	4.748414161291414359e-01	7.664055590516940519e-01	5.942635932648887565e-02
6.691197075772739034e+00	7.881396762187006466e+00	1.000000000000000000e+00	1.075927005353963235e+06	1.148679788434233982e+06	2.770800216209565988e+05	1.391769036951750517e+06	3.980351238471037243e+06	4.447668601971859759e-01	4.748414161291413249e-01	7.664055590516941630e-01	5.942635932648887565e-02
